width,dim_t,seed,full,marg,dep,dep_cross,mle_f1,mle_recall,final_loss,n_params
0.125x,128,0,0.7099085818004787,0.6058548940787218,0.10405368772175683,0.07105123635176303,0.6625784369652025,0.6040041601664067,,372636
0.125x,128,1,0.705393038130646,0.6021093347905431,0.10328370334010295,0.07067276788572852,0.6683804627249358,0.608424336973479,,372636
0.125x,128,2,0.6953583082229818,0.5981487613801649,0.09720954684281691,0.07242134305311554,0.663985059617871,0.6008840353614144,,372636
0.125x,128,3,0.6873852866138739,0.5852392484441175,0.10214603816975643,0.07140070880868765,0.6643558636626228,0.5980239209568383,,372636
0.125x,128,4,0.6806532892903345,0.5899254539617412,0.0907278353285933,0.07087817514646577,0.6682517482517483,0.6211648465938637,,372636
0.25x,256,0,0.6454266825553931,0.5709663628525495,0.07446031970284361,0.0442331874293842,0.670747330960854,0.6125845033801353,,1388444
0.25x,256,1,0.6344792668556403,0.5657820039366741,0.06869726291896616,0.047503679590160774,0.6745762711864407,0.6209048361934477,,1388444
0.25x,256,2,0.6378147982041684,0.567031012876586,0.07078378532758245,0.04553786259521653,0.6618460229689493,0.6068642745709828,,1388444
0.25x,256,3,0.6332797899351941,0.5647479487577668,0.06853184117742728,0.04788782766739963,0.6741894015140694,0.6136245449817993,,1388444
0.25x,256,4,0.6479890775361092,0.5626372328276276,0.08535184470848167,0.05875007560711265,0.671183628318584,0.6310452418096724,,1388444
0.5x,512,0,0.620783671961713,0.5543755451205385,0.06640812684117448,0.04662583541167309,0.6697582911748173,0.6196047841913677,,5386140
0.5x,512,1,0.6172369084971174,0.5599164708200532,0.057320437677064184,0.03716746626198708,0.6171654432523997,0.5683827353094124,,5386140
0.5x,512,2,0.6159058385124276,0.5577208342335168,0.058185004278910823,0.03725139284495216,0.6755004228925853,0.6229849193967759,,5386140
0.5x,512,3,0.6048623636294886,0.5549579967003628,0.04990436692912581,0.03331588253456397,0.6741254779776236,0.6188247529901196,,5386140
0.5x,512,4,0.6270595329376725,0.560014887862424,0.06704464507524843,0.04835002465622784,0.6744737208978112,0.6289651586063443,,5386140
