dataset,seed,method,steps,label,nfe,time_s,full,marg,dep,dep_cross,mle_f1,mle_recall
adult,0,dopri5_default,,dopri5_default,614,16.89096212387085,0.6157941703014387,0.5587015697279643,0.05709260057347443,0.035818665176228004,0.6547172432958177,0.6125845033801353
adult,0,euler,10.0,euler10,40,1.0345525741577148,0.6679067666714348,0.6215799530752824,0.04632681359615243,0.04115209926748631,0.6520667150108774,0.5845033801352054
adult,0,euler,20.0,euler20,80,2.111793279647827,0.6281713257907569,0.5733264987861119,0.05484482700464499,0.04016780623510097,0.6651382719587333,0.6034841393655747
adult,0,euler,50.0,euler50,200,5.365586757659912,0.6140924656020694,0.5605709578274023,0.05352150777466713,0.03611540458405771,0.6730604065273404,0.6112844513780551
adult,0,euler,200.0,euler200,800,23.264473915100098,0.6147507647961483,0.5581569853666468,0.0565937794295015,0.03612313836218373,0.674237047551455,0.6175247009880396
adult,0,euler,500.0,euler500,2000,60.66287875175476,0.6169254654794117,0.5569780708645787,0.059947394614833005,0.03776846193272754,0.6762834111158252,0.6216848673946958
adult,1,dopri5_default,,dopri5_default,668,19.52506947517395,0.6044519584323685,0.5619976229685907,0.04245433546377786,0.03354825050036314,0.6618202152942821,0.6154446177847114
adult,1,euler,10.0,euler10,40,1.0972585678100586,0.6722189723377507,0.614462434457315,0.057756537880435777,0.04319991317343885,0.6541601031075469,0.593863754550182
adult,1,euler,20.0,euler20,80,2.239257335662842,0.6256591475518135,0.57776662868778,0.04789251886403356,0.0357979631725861,0.6707543134179381,0.6115444617784711
adult,1,euler,50.0,euler50,200,5.73488187789917,0.6123032730092226,0.5626932612207189,0.04961001178850366,0.0389575265470139,0.649706457925636,0.6042641705668227
adult,1,euler,200.0,euler200,800,23.855337858200077,0.6073459004813432,0.5583655521586917,0.048980348322651523,0.03565107231795195,0.6643376187814422,0.6180447217888716
adult,1,euler,500.0,euler500,2000,66.58418416976929,0.6058817774460025,0.5583828984571418,0.04749887898886063,0.03462138012167992,0.6578764746703678,0.6162246489859594
adult,2,dopri5_default,,dopri5_default,620,25.1336190700531,0.5993912135852557,0.5500782713048676,0.04931294228038807,0.03150575969730607,0.661799803453601,0.6128445137805513
adult,2,euler,10.0,euler10,40,1.7026913166046145,0.6609623092587649,0.6194965845391114,0.041465724719653485,0.033567058671508,0.6570020295737895,0.5891835673426937
adult,2,euler,20.0,euler20,80,3.0466549396514893,0.6192070073643412,0.5737271292421956,0.0454798781221456,0.031810612027018736,0.6671430613119909,0.6068642745709828
adult,2,euler,50.0,euler50,200,7.874834299087524,0.5985927481509375,0.5540335800872582,0.04455916806367932,0.030233400406316058,0.6701704545454545,0.6133645345813833
adult,2,euler,200.0,euler200,800,30.213173151016235,0.600165234621834,0.5492132576529196,0.0509519769689144,0.02993036079874478,0.6541342756183746,0.6016640665626625
adult,2,euler,500.0,euler500,2000,72.63756155967712,0.5997076307426976,0.5490594573277304,0.05064817341496719,0.03089378206162685,0.6711582568807339,0.608684347373895
adult,3,dopri5_default,,dopri5_default,692,27.633457899093628,0.6016118793186102,0.557805460629088,0.043806418689522175,0.031120668476393498,0.6713028668748225,0.6149245969838794
adult,3,euler,10.0,euler10,40,1.599991798400879,0.6705241110888793,0.6226667111226869,0.04785739996619243,0.04503489161907859,0.6625036305547488,0.593083723348934
adult,3,euler,20.0,euler20,80,3.426565408706665,0.6221075910310674,0.5729812987700301,0.04912629226103726,0.041675691136910276,0.6692573402417962,0.6045241809672387
adult,3,euler,50.0,euler50,200,7.64618444442749,0.6120766129489379,0.5589160745525799,0.05316053839635804,0.04119987892600574,0.6639378969654199,0.6115444617784711
adult,3,euler,200.0,euler200,800,28.581755876541138,0.6040447297431423,0.5571015264852042,0.046943203257938104,0.03737949061874046,0.6749571183533448,0.6138845553822153
adult,3,euler,500.0,euler500,2000,61.58976650238037,0.6009326253583848,0.5592514847373267,0.0416811406210581,0.03158755666185564,0.6612604922464077,0.6042641705668227
adult,4,dopri5_default,,dopri5_default,776,23.431323528289795,0.6137751977290338,0.5570609147186062,0.05671428301042758,0.03717518117723961,0.6654626285079188,0.6227249089963599
adult,4,euler,10.0,euler10,40,1.2495341300964355,0.6666133054838852,0.6228088824863769,0.04380442299750831,0.0380910151829118,0.6598085440777254,0.6003640145605824
adult,4,euler,20.0,euler20,80,3.019514560699463,0.6285149677334894,0.5756861876695728,0.05282878006391656,0.0372999741755945,0.6638477801268499,0.6123244929797191
adult,4,euler,50.0,euler50,200,9.14389157295227,0.6175863752951799,0.5619604366998163,0.05562593859536358,0.03328625084661763,0.6677894736842105,0.6185647425897036
adult,4,euler,200.0,euler200,800,31.18362259864807,0.6091541823021497,0.5560557310538441,0.05309845124830559,0.03343209481177378,0.6649895178197065,0.6185647425897036
adult,4,euler,500.0,euler500,2000,79.25856351852417,0.6135418885058481,0.5570935173091254,0.056448371196722746,0.03521319145932411,0.6523901630284609,0.6138845553822153
default,0,dopri5_default,,dopri5_default,432,22.96885871887207,0.6152687777777778,0.5279096111111111,0.08735916666666665,0.01574533333333339,0.4538878842676311,0.37631184407796103
default,0,euler,10.0,euler10,30,1.424417495727539,0.6917927777777777,0.7370744444444444,-0.045281666666666665,0.00704972222222211,0.4412032816773017,0.36281859070464767
default,0,euler,20.0,euler20,60,2.935244560241699,0.6480585,0.6242602222222222,0.023798277777777765,0.012373222222222147,0.418018018018018,0.34782608695652173
