dataset,steps,full_mean,full_std,marg_mean,marg_std,dep_mean,dep_std,dep_cross_mean,dep_cross_std,mle_f1_mean,mle_f1_std,mle_recall_mean,mle_recall_std,time_s_mean,time_s_std
adult,10,0.7023538047987082,0.00507514302023068,0.6238393590009281,0.003300973959803744,0.07851444579778014,0.006468433329838736,0.023850016901700542,0.005007614776193985,0.6486306823193878,0.016000050823297432,0.5748309932397296,0.02245848770257195,6.619198417663574,9.02538593595797
adult,20,0.6034292934109822,0.003175333969603053,0.5394376866502552,0.003651885677753942,0.06399160676072695,0.004617683729337008,0.02864312247315537,0.002088790067495444,0.6647598001863786,0.004685455484752208,0.5998439937597504,0.0058747392239703435,11.77064037322998,12.719392898546733
adult,50,0.5884178727521948,0.004407181178595181,0.5377715445035113,0.004018771568281224,0.050646328248683516,0.007991115573365478,0.027168831217237698,0.0019953529374453914,0.6696663383692456,0.012628449838071118,0.6094123764950597,0.013641752361586197,37.051876831054685,49.79342874715077
adult,200,0.5874349106841621,0.005032711720342944,0.5377940071677637,0.003140840815711993,0.04964090351639834,0.00468052272807886,0.02950615552338829,0.0036497500175867296,0.6732156041586946,0.008044386618395204,0.6178367134685387,0.008871652403660793,133.9582516670227,162.56933173622102
adult,500,0.5863418256517356,0.005112389867811963,0.541303111282718,0.004166860250558476,0.04503871436901759,0.004165949633124764,0.026158623237496004,0.003864798705753816,0.669318626990673,0.007012418656194374,0.6111284451378055,0.01146200636873822,189.43717336654663,92.41465804920257
default,10,0.6663190999999999,0.008266842446271799,0.6288682,0.009323349361951458,0.037450899999999974,0.013000259110748674,0.010234555555555502,0.00521940679928478,0.4361007441442301,0.01829968028691665,0.3391304347826087,0.01723811976228462,2.4014205932617188,0.31895971442941756
default,20,0.5991971444444445,0.014844006235714345,0.5331378444444445,0.017827557854301172,0.06605930000000002,0.01539896671715904,0.011860855555555582,0.005152390373517058,0.4372553024359691,0.010978900181643993,0.34002998500749626,0.008831590089968899,5.024136352539062,0.6729030517996254
default,50,0.5900323111111111,0.0073587866075735045,0.5332902555555555,0.007414077679478799,0.05674205555555556,0.011853546925933569,0.004904066666666651,0.004397399097200746,0.43382365349633867,0.014221414495777296,0.3394302848575712,0.022850661188356786,12.87458815574646,2.2089077104365904
default,200,0.5971721222222223,0.006541717517542355,0.5393091333333333,0.008538359106188633,0.0578629888888889,0.013679859501040514,0.00859418888888892,0.003203365355324261,0.45319444486395033,0.008658395796651223,0.3634182908545727,0.008520702991533912,54.61967568397522,7.87706151410972
default,500,0.5958938,0.017197820000854482,0.5326603444444444,0.014243331363514088,0.06323345555555557,0.019478300970678115,0.007982322222222216,0.007753752144710689,0.438850521985567,0.020350208550969674,0.3502248875562219,0.019304849898434652,143.52132740020753,25.17991822916236
