dataset,seed,steps,label,time_s,full,marg,dep,dep_cross,mle_f1,mle_recall
adult,0,50,steps50,126.08245468139648,0.5915052422509608,0.5331151608115987,0.058390081439362085,0.028193175034363693,0.6511561108717507,0.5894435777431097
adult,0,10,steps10,22.763614654541016,0.702902903045649,0.6292671681980284,0.07363573484762054,0.02262903668274696,0.6551418439716312,0.5764430577223089
adult,0,20,steps20,34.51966738700867,0.6089336489031705,0.5392478544641486,0.0696857944390219,0.027048919176023922,0.6680208937899014,0.5985439417576703
adult,0,200,steps200,424.66587495803833,0.5813437651512494,0.536737556853691,0.04460620829755846,0.026944503739887216,0.6792187719544752,0.6284451378055123
adult,0,500,steps500,353.7235903739929,0.5907963622616512,0.5395731881018834,0.05122317415976785,0.02390833185231489,0.6747634514899026,0.6211648465938637
adult,1,50,steps50,16.660425662994385,0.5832331629868728,0.5405309731381703,0.04270218984870244,0.025214842375736568,0.6697326818051164,0.6058242329693188
adult,1,10,steps10,2.721442699432373,0.6953463736829324,0.6237909327231058,0.07155544095982658,0.021989634315318307,0.6656119660578168,0.6016640665626625
adult,1,20,steps20,6.458531141281128,0.6024532332683549,0.537603259000521,0.0648499742678339,0.03215351265882338,0.6688665710186513,0.6060842433697348
adult,1,200,steps200,63.90349507331848,0.5924758521549254,0.535354787505373,0.057121064649552356,0.03150620674740745,0.6615515771526002,0.6053042121684867
adult,1,500,steps500,157.07684302330017,0.5801808199578677,0.5388727492484551,0.04130807070941267,0.02395649819974044,0.6677283914868973,0.5995839833593344
adult,2,50,steps50,14.206621885299684,0.5842477365900522,0.5410268837407656,0.04322085284928667,0.025251157179756123,0.6843674570495527,0.6266250650026001
adult,2,10,steps10,2.5158467292785645,0.7019823816159175,0.6236668848082534,0.07831549680766414,0.02329643532699155,0.6592259747789535,0.5912636505460218
adult,2,20,steps20,6.003736972808838,0.6026919825442516,0.5458029123756035,0.05688907016864808,0.02705311616537276,0.6668624284246073,0.5904836193447738
adult,2,200,steps200,64.56885695457458,0.5856876547861462,0.5359738896483648,0.04971376513778136,0.034747346390765155,0.6820381440364361,0.6229849193967759
adult,2,500,steps500,159.43922901153564,0.5814857403410554,0.5370372954584036,0.04444844488265176,0.0222797679448562,0.6612083568605308,0.608944357774311
adult,3,50,steps50,15.710912466049194,0.5900940012814153,0.5405409685748264,0.04955303270658895,0.027302666322622904,0.6655314318149567,0.609724388975559
adult,3,10,steps10,2.5745205879211426,0.7018852585666674,0.6207179461653667,0.0811673124013007,0.019017671649064538,0.631578947368421,0.5553822152886115
adult,3,20,steps20,5.788501262664795,0.6007119278524062,0.5373211666139468,0.06339076123845944,0.028422868244703636,0.6576742865256283,0.6021840873634945
adult,3,200,steps200,62.873616218566895,0.5848440410641587,0.5377176717596011,0.0471263693045576,0.02863283088938584,0.6730357906744617,0.6136245449817993
adult,3,500,steps500,142.35308504104614,0.5887202993163781,0.5473674896436506,0.041352809672727586,0.030527910222500676,0.6647498562392179,0.6011440457618304
adult,4,50,steps50,12.598969459533691,0.5930092206516729,0.5336437362521955,0.05936548439947742,0.029882315173709206,0.6775440103048519,0.6154446177847114
adult,4,10,steps10,2.5205674171447754,0.7096521070823749,0.6217538631098862,0.08789824397248869,0.03231730653438136,0.6315946794201166,0.5494019760790432
adult,4,20,steps20,6.082765102386475,0.6023556744867273,0.5372132407970559,0.06514243368967143,0.028537196120853148,0.6623748211731044,0.6019240769630785
adult,4,200,steps200,53.779415130615234,0.5928232402643305,0.5431861300717886,0.04963711019254191,0.025699889849495783,0.6702337369754998,0.6188247529901196
adult,4,500,steps500,134.59311938285828,0.5905259063817254,0.5436648339611974,0.04686107242052806,0.030120607968067814,0.6781430788768167,0.624804992199688
default,0,50,steps50,11.951800107955933,0.5893451666666667,0.5421876111111111,0.047157555555555564,0.002356888888888853,0.4521072796934866,0.3538230884557721
default,0,10,steps10,2.176037549972534,0.6681568888888888,0.6183789444444444,0.04977794444444439,0.008318611111110985,0.4578544061302682,0.3583208395802099
default,0,20,steps20,4.652611970901489,0.6177378888888889,0.5509798888888888,0.0667580000000001,0.010053444444444448,0.43503937007874016,0.3313343328335832
default,0,200,steps200,50.08894205093384,0.6024240555555556,0.5362763333333334,0.0661477222222222,0.00960116666666666,0.45670789724072314,0.3598200899550225
default,0,500,steps500,125.11263513565063,0.6076718888888889,0.5434103333333333,0.06426155555555557,0.014845111111111087,0.4748603351955307,0.3823088455772114
default,1,50,steps50,11.643649816513062,0.5984836111111111,0.5342766666666666,0.06420694444444452,0.011017555555555614,0.42073170731707316,0.3103448275862069
default,1,10,steps10,2.2529492378234863,0.6527115,0.635786,0.016925500000000038,0.0075148333333333595,0.41916167664670656,0.3148425787106447
default,1,20,steps20,4.617729663848877,0.5941522222222222,0.5335741666666667,0.06057805555555551,0.0076371111111110945,0.42884990253411304,0.32983508245877063
default,1,200,steps200,48.94365477561951,0.5868617777777778,0.5433417222222222,0.0435200555555556,0.006396000000000068,0.4640151515151515,0.36731634182908546
default,1,500,steps500,121.9866771697998,0.6093941111111112,0.5323572222222223,0.07703688888888893,0.010601166666666773,0.42830882352941174,0.3493253373313343
default,2,50,steps50,11.762479305267334,0.591480611111111,0.5223548333333333,0.06912577777777773,-0.0006946111111111319,0.4196078431372549,0.32083958020989506
default,2,10,steps10,2.2868125438690186,0.6695963333333333,0.6346806111111111,0.03491572222222228,0.014238611111111132,0.44015444015444016,0.34182908545727136
default,2,20,steps20,4.833569049835205,0.5900885555555556,0.5467975555555555,0.04329100000000008,0.007492555555555613,0.45155038759689925,0.3493253373313343
default,2,200,steps200,50.49779605865479,0.5952911666666667,0.5471196111111111,0.048171555555555634,0.007848833333333416,0.453551912568306,0.3733133433283358
default,2,500,steps500,128.62984681129456,0.5945802777777778,0.5491698333333332,0.04541044444444453,-0.005054777777777852,0.429126213592233,0.3313343328335832
default,3,50,steps50,12.207427501678469,0.5925034444444445,0.5306854444444444,0.06181800000000004,0.005726388888888989,0.4438356164383562,0.36431784107946025
default,3,10,steps10,2.328108787536621,0.6662055555555555,0.6189863333333333,0.04721922222222219,0.0041601666666665205,0.4154863078375826,0.32983508245877063
default,3,20,steps20,4.8003294467926025,0.6114876111111112,0.5284858333333334,0.08300177777777773,0.014618722222222269,0.425531914893617,0.3448275862068966
default,3,200,steps200,55.62757897377014,0.6028412222222221,0.5257842222222222,0.07705699999999993,0.005514666666666557,0.4514338575393155,0.3658170914542729
default,3,500,steps500,168.90073609352112,0.6008405555555555,0.5137072222222222,0.08713333333333328,0.007497333333333245,0.4270931326434619,0.3403298350824588
default,4,50,steps50,16.807584047317505,0.5783487222222221,0.5369467222222222,0.04140199999999994,0.006114111111110931,0.43283582089552236,0.34782608695652173
default,4,10,steps10,2.9631948471069336,0.6749252222222222,0.6365091111111112,0.038416111111110984,0.016940555555555514,0.4478468899521531,0.35082458770614694
default,4,20,steps20,6.216441631317139,0.5825194444444445,0.5058517777777778,0.07666766666666669,0.01950244444444449,0.4453049370764763,0.3448275862068966
default,4,200,steps200,67.94040656089783,0.5984423888888889,0.5440237777777778,0.054418611111111126,0.013610277777777902,0.44026340545625586,0.35082458770614694
default,4,500,steps500,172.97674179077148,0.5669821666666667,0.5246571111111111,0.042325055555555546,0.012022777777777827,0.43486410496719774,0.34782608695652173
