dataset,seed,n,trend_ff,lr_c2st_ff
adult,0,16281,0.7645535530408638,0.9963849046970862
adult,1,16281,0.7644901255514895,1.0
adult,2,16281,0.7635026210411417,0.9990022860331351
adult,3,16281,0.7619812745774819,0.996484534898569
adult,4,16281,0.7625599360946153,0.9968808238634921
shoppers,0,1233,0.7571533541762905,1.0
shoppers,1,1233,0.7621457592767591,0.9897440552421283
shoppers,2,1233,0.7655157019007496,0.9686320605270883
shoppers,3,1233,0.7588068218165333,0.990844284650265
shoppers,4,1233,0.7638555462257277,0.9778397396810738
bank,0,4522,0.7827258068075871,1.0
bank,1,4522,0.7904537019020307,0.9607008545613038
bank,2,4522,0.7876946321355971,0.9867315592468336
bank,3,4522,0.8028674303980429,0.9846347273177114
bank,4,4522,0.7921609510403308,1.0
magic,0,1902,0.6845268902572539,0.9672999898157955
magic,1,1902,0.6964904274326594,0.9461496226937147
magic,2,1902,0.6869031725030167,0.9824449184229856
magic,3,1902,0.6834842354669818,0.9942402411774055
magic,4,1902,0.6869297241564665,1.0
