dataset,seed,n,trend,lr_c2st,xgb_c2st
adult,0,16281,0.7645535530408638,0.9963849046970862,0.9910272215748295
adult,1,16281,0.7644901255514895,1.0,0.9909957300075585
adult,2,16281,0.7635026210411417,0.9990022860331351,0.9901943936438967
adult,3,16281,0.7619812745774819,0.996484534898569,0.9913486015542836
adult,4,16281,0.7625599360946153,0.9968808238634921,0.991352347720956
shoppers,0,1233,0.7571533541762905,1.0,0.9826092275876493
shoppers,1,1233,0.7621457592767591,0.9897440552421283,0.9767636284943191
shoppers,2,1233,0.7655157019007496,0.9686320605270883,0.9728827874173924
shoppers,3,1233,0.7588068218165333,0.990844284650265,0.9755881940867821
shoppers,4,1233,0.7638555462257277,0.9778397396810738,0.9821014293992786
bank,0,4522,0.7827258068075871,1.0,0.9553825603893179
bank,1,4522,0.7904537019020307,0.9607008545613038,0.956780219012813
bank,2,4522,0.7876946321355971,0.9867315592468336,0.9563361029600042
bank,3,4522,0.8028674303980429,0.9846347273177114,0.9573245625445878
bank,4,4522,0.7921609510403308,1.0,0.9549142127113188
magic,0,1902,0.6845268902572539,0.9672999898157955,0.9940184166094465
magic,1,1902,0.6964904274326594,0.9461496226937147,0.9949715336449206
magic,2,1902,0.6869031725030167,0.9824449184229856,0.9948222635755599
magic,3,1902,0.6834842354669818,0.9942402411774055,0.994582878612474
magic,4,1902,0.6869297241564665,1.0,0.9952454718648034
