dataset,variant,seed,xgb_c2st,marg_c2st,dep_c2st
adult,FF,0,0.990569334752591,0.5032424147736048,0.48732691997898625
adult,TabbyFlow,0,0.6157941703014387,0.5587015697279643,0.05709260057347443
adult,Oracle,0,0.5025596353423263,0.5042383744932362,-0.0016787391509098804
adult,FF,1,0.9906984096232255,0.5122014421640098,0.47849696745921577
adult,TabbyFlow,1,0.6044519584323685,0.5619976229685907,0.04245433546377786
adult,Oracle,1,0.5021399496114551,0.5010021486284195,0.0011378009830356195
adult,FF,2,0.9910124934432181,0.5032645031984473,0.4877479902447708
adult,TabbyFlow,2,0.5993912135852557,0.5500782713048676,0.04931294228038807
adult,Oracle,2,0.5079587857984942,0.5020078038650186,0.005950981933475541
adult,FF,3,0.9909736227198422,0.511512162586531,0.47946146013331126
adult,TabbyFlow,3,0.6016118793186102,0.557805460629088,0.043806418689522175
adult,Oracle,3,0.5019087228495014,0.505294018230839,-0.003385295381337583
adult,FF,4,0.9913862216691477,0.5055484538723198,0.48583776779682786
adult,TabbyFlow,4,0.6137751977290338,0.5570609147186062,0.05671428301042758
adult,Oracle,4,0.5012151859214786,0.5040371868572959,-0.0028220009358173037
shoppers,FF,0,0.9764018551735888,0.5147166098024784,0.4616852453711105
shoppers,TabbyFlow,0,0.5668132835270137,0.5235188835806877,0.043294399946326
shoppers,Oracle,0,0.515792720989233,0.5074522015222106,0.0083405194670224
shoppers,FF,1,0.9767892815116072,0.5051828961467195,0.4716063853648877
shoppers,TabbyFlow,1,0.577231697394377,0.5688550005952815,0.0083766967990954
shoppers,Oracle,1,0.512515712473089,0.526551201778083,-0.0140354893049939
shoppers,FF,2,0.978162704591035,0.5087835273424987,0.4693791772485364
shoppers,TabbyFlow,2,0.5637921474140772,0.5595672927976194,0.0042248546164578
shoppers,Oracle,2,0.5044461941117774,0.502232799158581,0.0022133949531963
shoppers,FF,3,0.9736898708074584,0.5075143607564088,0.4661755100510496
shoppers,TabbyFlow,3,0.5600073407095625,0.5541393774473143,0.0058679632622481
shoppers,Oracle,3,0.5002170639924383,0.5209016180476211,-0.0206845540551828
shoppers,FF,4,0.975183007967564,0.5294411128410453,0.4457418951265187
shoppers,TabbyFlow,4,0.5854748669496392,0.5640565708230474,0.0214182961265918
shoppers,Oracle,4,0.5065740790073466,0.5277588668996487,-0.021184787892302
