dataset,variant,n,xgb_c2st_mean,xgb_c2st_std,marg_c2st_mean,marg_c2st_std,dep_c2st_mean,dep_c2st_std
adult,FF,5,0.990928016441605,0.0003164412157272409,0.5071537953189825,0.004401042945738583,0.48377422112262236,0.004447472559095684
adult,TabbyFlow,5,0.6070048838733413,0.0073596638392985116,0.5571287678698232,0.004368966542867652,0.049876116003517955,0.006911573519626773
adult,Oracle,5,0.5031564559046512,0.002728425331647328,0.5033159064149618,0.0017570377460369635,-0.0001594505103107,0.0038348316117142924
default,FF,5,0.999742,5.516333770872651e-05,0.5088118777777778,0.006415630377046082,0.4909301222222222,0.006362159633065277
default,TabbyFlow,5,0.6133488,0.007496393877770755,0.5365564777777778,0.012208516358481428,0.07679232222222222,0.011690975525320411
default,Oracle,5,0.5056398555555556,0.004171473707564432,0.5182399222222223,0.012262829011682132,-0.012600066666666599,0.012017391914879104
bank,FF,5,0.9559840279602145,0.0020609720695963724,0.5096626185100079,0.00632833220724524,0.44632140945020665,0.00705591024824977
bank,TabbyFlow,5,0.5620715256935429,0.008332846397320876,0.5243259402506317,0.009109688361604907,0.037745585442911025,0.014327500888883437
bank,Oracle,5,0.5039354506671497,0.003961780716412078,0.5062479643967739,0.004202243495109147,-0.00231251372962414,0.006037538086468592
magic,FF,5,0.9949892249124005,0.0002574248891409833,0.5155789025001078,0.007604085546928631,0.4794103224122927,0.007587210830053269
magic,TabbyFlow,5,0.5513577771364694,0.007007324537354522,0.5263199067670203,0.013296661550338809,0.025037870369448916,0.015609000660220989
magic,Oracle,5,0.5077157975278664,0.005913183483167104,0.5210637759135605,0.006709158344078343,-0.013347978385693859,0.012242773533625692
