dataset,seed,full_c2st,numinv_c2st,dep_numinv,catinv_c2st,dep_catinv,cross_c2st,dep_cross,n_num,n_cat
adult,0,0.6095999610459026,0.5571825877976879,0.052417373248214716,0.5687676723667969,0.04083228867910571,0.5718464064420847,0.03775355460381791,6,9
adult,1,0.6075343462462491,0.5611418162851871,0.04639252996106202,0.5671828401452093,0.04035150610103988,0.5711850080778935,0.036349338168355616,6,9
adult,2,0.6052518216056115,0.5585144519093512,0.0467373696962603,0.5667701280186629,0.03848169358694864,0.5706930077489702,0.03455881385664128,6,9
adult,3,0.6084223726038402,0.5621868364524472,0.046235536151393086,0.567055202625534,0.04136716997830625,0.5678852124431691,0.040537160160671104,6,9
adult,4,0.6041418980632889,0.5605299574856109,0.04361194057767803,0.5639560381719821,0.04018585989130674,0.5697594445285163,0.03438245353477254,6,9
shoppers,0,0.5668132835270137,0.5243279402797758,0.04248534324723785,0.5437176747315806,0.023095608795433042,0.5623545917914291,0.004458691735584552,10,8
shoppers,1,0.577231697394377,0.5721833151460018,0.005048382248375116,0.5600658822105534,0.01716581518382354,0.5750682929364088,0.0021634044579681433,10,8
shoppers,2,0.5637921474140772,0.5554147928453077,0.008377354568769535,0.5556259369106795,0.00816621050339772,0.5459685625561982,0.01782358485787905,10,8
shoppers,3,0.5600073407095625,0.548436514373254,0.01157082633630846,0.5569125343931318,0.003094806316430665,0.5684353435432342,-0.008428002833671733,10,8
shoppers,4,0.5854748669496392,0.5581524302287263,0.027322436720912946,0.5710019608113983,0.014472906138240926,0.5817877390417217,0.0036871279079175867,10,8
default,0,0.6160636111111112,0.5385006666666667,0.07756294444444445,0.5989420555555556,0.017121555555555612,0.5977788333333334,0.018284777777777816,14,10
default,1,0.6158712222222222,0.5361926666666668,0.07967855555555547,0.5875565,0.0283147222222222,0.6012893888888889,0.014581833333333294,14,10
default,2,0.6247375555555555,0.536852,0.08788555555555555,0.6103762222222222,0.014361333333333337,0.6084282222222223,0.016309333333333287,14,10
default,3,0.6232203333333333,0.5458793333333334,0.07734099999999988,0.5948342222222223,0.028386111111111,0.6116092777777777,0.011611055555555527,14,10
default,4,0.6338483333333333,0.5435346666666667,0.09031366666666663,0.6202698888888889,0.013578444444444449,0.6272016666666665,0.006646666666666801,14,10
