dataset,variant,xgb_c2st_mean,xgb_c2st_std,marg_c2st_mean,marg_c2st_std,dep_c2st_mean,dep_c2st_std,tv2_mean,tv2_std,tv3_mean,tv3_std,mle_auc_mean,mle_auc_std,mle_f1_mean,mle_f1_std,mle_recall_mean,mle_recall_std,trend_mean,trend_std,lr_c2st_mean,lr_c2st_std,rr_c2st_mean,rr_c2st_std
adult,FF,0.990928016441605,0.00031644121572735985,0.5071537953189825,0.004401042945738585,0.48377422112262236,0.0044474725590956735,0.07284239219308643,0.000549305246538803,0.17227991471176546,0.0004617974461848849,0.48557743323001923,0.02087989887757535,0.10184725079733561,0.004266474278101634,0.06453458138325532,0.0031918858116326406,0.7643017956828958,0.0006593562327281742,0.9990995596081156,0.0020134459259399558,0.5056822800016902,0.0050523540361465434
adult,Oracle,0.5031564559046512,0.002728425331647323,0.5033159064149618,0.0017570377460369793,-0.00015945051031072133,0.0038348316117143367,0.013621460890087913,0.0,0.028062554806701008,0.0,0.9269543268260685,0.0003374826849524446,0.7084533681742128,0.004760387871126602,0.654238169526781,0.0017863301130855644,1.0,0.0,1.0,0.0,0.5056822800016902,0.0050523540361465434
adult,TabbyFlow,0.6057955933543396,0.002100841079187154,0.5536544849965667,0.004517465606892958,0.05214110835777293,0.004846816879164046,0.017663581804877586,0.00013648721689251515,0.03452958178455662,0.0004241924037024985,0.9112371372217172,0.0014855981872619179,0.669652192212746,0.005625042293791956,0.6183047321892875,0.0055887117161217996,0.9848776143238844,0.00039513501219482676,0.9876004864977836,0.003495924453008333,0.5056822800016902,0.0050523540361465434
default,FF,0.9996908888888889,,0.5028395,,0.4968513888888889,,0.17704907407407408,,0.3406896296296296,,0.4703130110898258,,0.06741573033707865,,0.04047976011994003,,0.6063263456526395,,0.9968249794238684,,0.5164542222222221,
default,Oracle,0.5009262777777778,,0.5176854444444444,,-0.01675916666666666,,0.02530814814814815,,0.048011296296296295,,0.7715720472382754,,0.4835988753514527,,0.3868065967016492,,1.0,,1.0,,0.5164542222222221,
default,TabbyFlow,0.6160636111111112,,0.5346697777777778,,0.08139383333333339,,0.03178314814814815,,0.05517722222222223,,0.7551447165401439,,0.44564240790655885,,0.37181409295352325,,0.9878977853491766,,0.9746695884773663,,0.5164542222222221,
diabetes,FF,0.6294147411030527,0.07210163344436497,0.5542587282847024,0.024783174786496893,0.07515601281835045,0.09067822453895448,0.26500230754934084,0.0048471873682660324,0.5030755888725704,0.004197663902374999,0.5522314049586777,0.12883870772570014,0.3042285200179937,0.11003149761134222,0.2727272727272727,0.10163945352271773,0.7135001033698574,0.012102133932596239,0.9848887906884126,0.019307371394634246,0.5706371191135734,0.052724895405290365
diabetes,Oracle,0.5645134086692528,0.020170160074485924,0.5398886827458256,0.041056937140678255,0.024624725923427238,0.04909744990474785,0.23165654895032609,0.0,0.4573787283628096,0.0,0.9330578512396694,0.013554726832112996,0.7101478498812589,0.09312972607498153,0.6636363636363637,0.104644222120194,1.0,0.0,1.0,0.0,0.5706371191135734,0.052724895405290365
diabetes,TabbyFlow,0.5165795243717322,0.013531632165438873,0.5457918704671952,0.03965416578413034,-0.029212346095463016,0.04188172258828386,0.24450938995077925,0.0,0.46476967316330564,0.0,0.9094214876033057,0.0176635371998579,0.7642460684551342,0.04081446047628042,0.8090909090909092,0.03803000120609437,0.8205499276410999,0.0,0.9957086391869001,0.009595774494070213,0.5706371191135734,0.052724895405290365
shoppers,FF,0.9760453440102508,0.0016923088152106173,0.5131277013778301,0.009774372034710314,0.46291764263242063,0.01030029714838129,0.066917102367065,0.0006963106232151685,0.13247463278363522,0.0006334338364758715,0.4532809303213085,0.03363719189615714,0.032460219226222074,0.0159722512795131,0.02011173184357542,0.010890273010959736,0.7696505815556933,0.0008645881811842776,1.0,0.0,0.5234920517793895,0.014823112999459431
shoppers,Oracle,0.5079091541147769,0.006251275360828188,0.5169793374812289,0.011526381018390063,-0.009070183366452022,0.013571691357634011,0.033772302588993906,0.0,0.05818329278183293,0.0,0.9234154537648542,0.0037658129090162584,0.623745975877932,0.007179164750332822,0.5731843575418994,0.006369695112285713,1.0,0.0,1.0,0.0,0.5234920517793895,0.014823112999459431
shoppers,TabbyFlow,0.5706638671989339,0.01046555291571223,0.5540274250487901,0.017901917020763398,0.01663644215014386,0.016368749778500735,0.037130685382200095,0.0,0.06101649094349824,0.0,0.9208376178007697,0.002366150898492772,0.6115980306775934,0.011308145843151934,0.5709497206703911,0.013910502344121533,0.9832467501315703,0.0,0.9837061048066325,0.004048338317178908,0.5234920517793895,0.014823112999459431
