dataset,variant,seed,full,marg,dep,dep_cross,mle_f1,mle_recall
adult,FF,0,0.990569334752591,0.5032424147736048,0.48732691997898625,0.055449851785160154,0.09879160483358067,0.06058242329693188
adult,TabbyFlow,0,0.6157941703014387,0.5587015697279643,0.05709260057347443,0.035818665176228004,0.6547172432958177,0.6125845033801353
adult,Oracle,0,0.5025596353423263,0.5042383744932362,-0.0016787391509098804,0.0019226379912660185,0.7011974380395433,0.6547061882475299
adult,FF,1,0.9906984096232255,0.5122014421640098,0.47849696745921577,0.05485715389246282,0.10284552845528455,0.0657826313052522
adult,TabbyFlow,1,0.6044519584323685,0.5619976229685907,0.04245433546377786,0.03354825050036314,0.6618202152942821,0.6154446177847114
adult,Oracle,1,0.5021399496114551,0.5010021486284195,0.0011378009830356195,-0.0011097500038866892,0.7143059690911668,0.6549661986479459
adult,FF,2,0.9910124934432181,0.5032645031984473,0.4877479902447708,0.05169295402373397,0.09865650691798676,0.06396255850234009
adult,TabbyFlow,2,0.5993912135852557,0.5500782713048676,0.04931294228038807,0.03150575969730607,0.661799803453601,0.6128445137805513
adult,Oracle,2,0.5079587857984942,0.5020078038650186,0.005950981933475541,0.005424922800200682,0.7092597804672108,0.6552262090483619
adult,FF,3,0.9909736227198422,0.511512162586531,0.47946146013331126,0.05115342302622139,0.10886024145692653,0.06916276651066043
adult,TabbyFlow,3,0.6016118793186102,0.557805460629088,0.043806418689522175,0.031120668476393498,0.6713028668748225,0.6149245969838794
adult,Oracle,3,0.5019087228495014,0.505294018230839,-0.003385295381337583,-0.0032131735471393474,0.7099591491759403,0.6552262090483619
adult,FF,4,0.9913862216691477,0.5055484538723198,0.48583776779682786,0.05518750316825549,0.1000823723228995,0.06318252730109204
adult,TabbyFlow,4,0.6137751977290338,0.5570609147186062,0.05671428301042758,0.03717518117723961,0.6654626285079188,0.6227249089963599
adult,Oracle,4,0.5012151859214786,0.5040371868572959,-0.0028220009358173037,0.000523912538273219,0.7075445040972026,0.6510660426417056
