dataset,variant,seed,mean_gap,corr_gap,n_pairs
adult,FF,0,0.24303000312725823,0.05054221244490562,456
adult,TabbyFlow,0,0.06829449638063322,0.008864019399739334,456
adult,Oracle,0,0.05166390102527097,0.007064714614325705,456
adult,FF,1,0.24829318084869337,0.051028836135908494,456
adult,TabbyFlow,1,0.0661431602839002,0.009244179059607088,456
adult,Oracle,1,0.05166390102527097,0.007064714614325707,456
adult,FF,2,0.25136941468729246,0.05097022107610314,456
adult,TabbyFlow,2,0.06589539016340928,0.009102729881020245,456
adult,Oracle,2,0.05166390102527097,0.007064714614325711,456
adult,FF,3,0.2489146098330983,0.05127940311249544,456
adult,TabbyFlow,3,0.06849046478410492,0.009038678897742233,456
adult,Oracle,3,0.05166390102527097,0.007064714614325708,456
adult,FF,4,0.2484696743715328,0.05101454338912274,456
adult,TabbyFlow,4,0.06733704510636572,0.009258840880317318,456
adult,Oracle,4,0.05166390102527097,0.007064714614325711,456
