dataset,variant,seed,mean_gap,corr_gap,n_pairs
bank,FF,0,0.17088575652799956,0.05812062414412362,315
bank,TabbyFlow,0,0.053638425261467754,0.014819588892834145,315
bank,Oracle,0,0.051123335322007364,0.013684002942715044,315
bank,FF,1,0.17376479334827438,0.05879799448499681,315
bank,TabbyFlow,1,0.05454744545543664,0.01664274906692091,315
bank,Oracle,1,0.051123335322007364,0.013684002942715047,315
bank,FF,2,0.1725217701613664,0.05832073793895705,315
bank,TabbyFlow,2,0.05228127007657917,0.013688802152260657,315
bank,Oracle,2,0.051123335322007364,0.013684002942715039,315
bank,FF,3,0.1732971978961952,0.0583141516677629,315
bank,TabbyFlow,3,0.0532612666517113,0.0143814049187434,315
bank,Oracle,3,0.051123335322007364,0.013684002942715039,315
bank,FF,4,0.17351146064829587,0.0583536882257363,315
bank,TabbyFlow,4,0.04984660729886512,0.014281378451377277,315
bank,Oracle,4,0.051123335322007364,0.013684002942715044,315
