dataset,capacity,seed,step,full,marg,dep,dep_cross,mle_f1,mle_recall
adult,1x,0,8000,0.6157941703014387,0.5587015697279643,0.05709260057347443,0.035818665176228004,0.6547172432958177,0.6125845033801353
adult,1x,1,8000,0.6044519584323685,0.5619976229685907,0.04245433546377786,0.03354825050036314,0.6618202152942821,0.6154446177847114
adult,1x,2,8000,0.5993912135852557,0.5500782713048676,0.04931294228038807,0.03150575969730607,0.661799803453601,0.6128445137805513
adult,4x,0,8000,0.6052342847921391,0.5538970694718989,0.05133721532024027,0.030235862011305015,0.6635619531470506,0.6112844513780551
adult,4x,1,8000,0.6137286479298651,0.5572396706254066,0.056488977304458565,0.0413181397112754,0.6756604834176504,0.625065002600104
adult,4x,2,8000,0.6033789533060168,0.547851865599114,0.055527087706902734,0.03169747062561101,0.6581005586592179,0.6125845033801353
default,1x,0,8000,0.6152687777777778,0.5279096111111111,0.08735916666666665,0.01574533333333339,0.4538878842676311,0.37631184407796103
default,1x,1,8000,0.6014547222222223,0.5373518888888889,0.06410283333333344,0.004505666666666741,0.46126447016918964,0.38830584707646176
default,1x,2,8000,0.6150136666666667,0.5419048888888889,0.0731087777777778,0.0074442222222222965,0.4528301886792453,0.3778110944527736
default,4x,0,8000,0.610597888888889,0.541647,0.068950888888889,0.01698327777777786,0.4424131627056673,0.36281859070464767
default,4x,1,8000,0.6007227222222222,0.5291576111111111,0.07156511111111108,0.009517444444444356,0.466786355475763,0.38980509745127434
default,4x,2,8000,0.6016456666666667,0.5656373888888889,0.03600827777777782,0.010721277777777871,0.4501372369624886,0.36881559220389803
