dataset,capacity,params,full_mean,full_std,full_count,marg_mean,marg_std,marg_count,dep_mean,dep_std,dep_count,dep_cross_mean,dep_cross_std,dep_cross_count,mle_f1_mean,mle_f1_std,mle_f1_count,mle_recall_mean,mle_recall_std,mle_recall_count
adult,1x,10.6M,0.6070048838733413,0.0073596638392984725,5,0.5571287678698233,0.004368966542867645,5,0.049876116003518024,0.006911573519626763,5,0.033833705005506066,0.0026441875276912315,5,0.6630205514852884,0.006050546421890572,5,0.6157046281851274,0.004119339448194206,5
adult,2x,42M,0.6064341793366042,0.00546263226961194,5,0.5551290127929177,0.003467872413865913,5,0.0513051665436864,0.005135907401432221,5,0.035119226809608925,0.0025808500153462815,5,0.6675178031173029,0.00879452893033832,5,0.6160166406656267,0.009675391925236495,5
adult,4x,168M,0.6130687318102718,0.012371532573474613,5,0.5548651460919554,0.00506167402838792,5,0.05820358571831641,0.008193019114430681,5,0.038084479197251664,0.007469931321899713,5,0.6680825648942686,0.0074888289271462785,5,0.6167446697867914,0.005475673345983527,5
bank,1x,10.6M,0.5620715256935429,0.008332846397320869,5,0.5243259402506318,0.009109688361604888,5,0.03774558544291107,0.014327500888883422,5,0.03146399997183165,0.006469079129646736,5,0.513639481736664,0.018261149944501797,5,0.4390763765541741,0.0256597741595469,5
bank,2x,42M,0.5614464035573492,0.006133524613034388,5,0.5207372732374683,0.0031411139160553423,5,0.04070913031988092,0.004555568699274043,5,0.02817890558537244,0.006510387017186119,5,0.5210920583216035,0.014912814311571833,5,0.46358792184724684,0.0164238383738072,5
bank,4x,168M,0.5625838913046073,0.005915223655589323,5,0.5199845719614227,0.009661289406504531,5,0.042599319343184505,0.004968935567137848,5,0.026547943603056325,0.005591976454716404,5,0.5287433479136914,0.01711650982541843,5,0.46820603907637653,0.021630281958608725,5
default,1x,10.6M,0.6133488,0.00749639387777076,5,0.5365564777777777,0.012208516358481435,5,0.07679232222222225,0.011690975525320413,5,0.009569588888888925,0.004947069933959033,5,0.4523397327031276,0.006808179219265551,5,0.3760119940029985,0.008638596876094737,5
default,2x,42M,0.6086844333333333,0.01069772467287056,5,0.5478688555555555,0.010654872974502263,5,0.060815577777777796,0.011243497287293805,5,0.010701166666666696,0.006950966942682985,5,0.4481375298878073,0.008097693946713214,5,0.36731634182908546,0.008003806785630676,5
default,4x,168M,0.6043220925925926,0.005454555066761891,3,0.5454806666666667,0.018539587286731742,3,0.05884142592592597,0.01981724073182871,3,0.012407333333333362,0.004008335607530022,3,0.4531122517146396,0.012455969092515414,3,0.37381309345327335,0.014170361697908853,3
magic,1x,10.6M,0.5513577771364694,0.007007324537354532,5,0.5263199067670203,0.013296661550338817,5,0.025037870369448954,0.015609000660220989,5,-0.003949464894443944,0.005976587525441025,5,0.8252673426748455,0.005854935965037527,5,0.7837278106508876,0.0033733000742578183,5
magic,2x,42M,0.5428222381443629,0.004328521257531873,5,0.5266401739936157,0.013437551816928872,5,0.01618206415074728,0.013242006016083128,5,-0.0004193383244821547,0.00517684778750781,5,0.8196604334637145,0.0037761491842615417,5,0.7766272189349113,0.010870516609984508,5
magic,4x,168M,0.5391834484924276,0.006188549217272003,5,0.5238927201540025,0.006361099148417617,5,0.015290728338425064,0.005281275423974661,5,-0.0025403830822832373,0.002838471338015312,5,0.82868492642086,0.0076105760639100795,5,0.7970414201183431,0.007048005473119256,5
