dataset,capacity,params,seed,full,marg,dep,dep_cross,mle_f1,mle_recall
adult,1x,10.6M,0,0.6157941703014387,0.5587015697279643,0.05709260057347443,0.035818665176228004,0.6547172432958177,0.6125845033801353
adult,1x,10.6M,1,0.6044519584323685,0.5619976229685907,0.04245433546377786,0.03354825050036314,0.6618202152942821,0.6154446177847114
adult,1x,10.6M,2,0.5993912135852557,0.5500782713048676,0.04931294228038807,0.03150575969730607,0.661799803453601,0.6128445137805513
adult,1x,10.6M,3,0.6016118793186102,0.557805460629088,0.043806418689522175,0.031120668476393498,0.6713028668748225,0.6149245969838794
adult,1x,10.6M,4,0.6137751977290338,0.5570609147186062,0.05671428301042758,0.03717518117723961,0.6654626285079188,0.6227249089963599
adult,2x,42M,0,0.6045110086577912,0.5574217878962607,0.04708922076153044,0.034665264596826395,0.6567880327406153,0.6050442017680707
adult,2x,42M,1,0.6128582187469415,0.5580462357775962,0.05481198296934531,0.03595591898880235,0.670487907171816,0.6235049401976079
adult,2x,42M,2,0.6020378746806595,0.5493951032983956,0.05264277138226392,0.032489930121013755,0.660904066883945,0.6063442537701508
adult,2x,42M,3,0.6011349183587108,0.5562041686641035,0.04493074969460731,0.03338766519958414,0.6790855207451313,0.625585023400936
adult,2x,42M,4,0.6116288762389177,0.5545777683282327,0.05705110791068502,0.039097355141818,0.6703234880450071,0.6196047841913677
adult,4x,168M,0,0.6052342847921391,0.5538970694718989,0.05133721532024027,0.030235862011305015,0.6635619531470506,0.6112844513780551
adult,4x,168M,1,0.6137286479298651,0.5572396706254066,0.056488977304458565,0.0413181397112754,0.6756604834176504,0.625065002600104
adult,4x,168M,2,0.6033789533060168,0.547851865599114,0.055527087706902734,0.03169747062561101,0.6581005586592179,0.6125845033801353
adult,4x,168M,3,0.6089647198283633,0.5537314157170162,0.05523330411134708,0.038594137062037626,0.6681645836258953,0.6185647425897036
adult,4x,168M,4,0.6340370531949744,0.561605709046341,0.07243134414863339,0.04857678657602926,0.6749252456215292,0.6162246489859594
bank,1x,10.6M,0,0.5627671224918189,0.5316018048086109,0.03116531768320807,0.021168928708847012,0.5322245322245323,0.4547069271758437
bank,1x,10.6M,1,0.5528596643154573,0.5294067032059687,0.02345296110948858,0.030357580542401008,0.4925053533190578,0.40852575488454707
bank,1x,10.6M,2,0.5626005575767867,0.509409964083401,0.05319059349338573,0.035881217404674204,0.4973319103521878,0.413854351687389
bank,1x,10.6M,3,0.5571145763177359,0.5293091165095662,0.02780545980816962,0.037809330999794444,0.5300713557594292,0.46181172291296624
bank,1x,10.6M,4,0.5750157077659156,0.5219021126456123,0.053113595120303336,0.032102942203441565,0.5160642570281124,0.4564831261101243
bank,2x,42M,0,0.5664861267955121,0.5190932247104479,0.04739290208506419,0.02026411835713593,0.5084745762711864,0.45293072824156305
bank,2x,42M,1,0.5666340350707662,0.5244544534450574,0.042179581625708784,0.024317695140627538,0.5225225225225225,0.4635879218472469
bank,2x,42M,2,0.5544063315402745,0.5189025015252964,0.035503830014978144,0.026873728145323517,0.5096056622851365,0.44760213143872113
