dataset,capacity,params,seed,full,marg,dep,dep_cross
adult,1x,10.6M,0,0.6157941703014387,0.5587015697279643,0.05709260057347443,0.035818665176228004
adult,1x,10.6M,1,0.6044519584323685,0.5619976229685907,0.04245433546377786,0.03354825050036314
adult,1x,10.6M,2,0.5993912135852557,0.5500782713048676,0.04931294228038807,0.03150575969730607
adult,2x,42M,0,0.6045110086577912,0.5574217878962607,0.04708922076153044,0.034665264596826395
adult,2x,42M,1,0.6128582187469415,0.5580462357775962,0.05481198296934531,0.03595591898880235
adult,2x,42M,2,0.6020378746806595,0.5493951032983956,0.05264277138226392,0.032489930121013755
adult,4x,168M,0,0.6052342847921391,0.5538970694718989,0.05133721532024027,0.030235862011305015
adult,4x,168M,1,0.6137286479298651,0.5572396706254066,0.056488977304458565,0.0413181397112754
adult,4x,168M,2,0.6033789533060168,0.547851865599114,0.055527087706902734,0.03169747062561101
default,1x,10.6M,0,0.6152687777777778,0.5279096111111111,0.08735916666666665,0.01574533333333339
default,1x,10.6M,1,0.6014547222222223,0.5373518888888889,0.06410283333333344,0.004505666666666741
default,1x,10.6M,2,0.6150136666666667,0.5419048888888889,0.0731087777777778,0.0074442222222222965
default,2x,42M,0,0.6112309444444445,0.5337924444444444,0.07743850000000008,0.006857888888888941
default,2x,42M,1,0.5949967777777778,0.5463233888888889,0.04867338888888895,0.004984333333333368
default,2x,42M,2,0.6089201111111111,0.5565133888888889,0.0524067222222222,0.012827444444444502
default,4x,168M,0,0.610597888888889,0.541647,0.068950888888889,0.01698327777777786
default,4x,168M,1,0.6007227222222222,0.5291576111111111,0.07156511111111108,0.009517444444444356
default,4x,168M,2,0.6016456666666667,0.5656373888888889,0.03600827777777782,0.010721277777777871
