dataset,variant,seed,mean_gap,corr_gap,n_pairs
default,FF,0,0.19589036862155043,0.10224854690764229,504
default,TabbyFlow,0,0.04214359380817085,0.01669521269867258,504
default,Oracle,0,0.033477479901935545,0.015747644035225026,504
default,FF,1,0.1958193299279922,0.10197527908201133,504
default,TabbyFlow,1,0.040807863368917396,0.015300907240266927,504
default,Oracle,1,0.033477479901935545,0.01574764403522503,504
default,FF,2,0.19616150970357785,0.10175342414937137,504
default,TabbyFlow,2,0.0432218704730154,0.01621209140191895,504
default,Oracle,2,0.033477479901935545,0.015747644035225022,504
default,FF,3,0.1954135694512101,0.10200564845944728,504
default,TabbyFlow,3,0.04134529983404471,0.016515796105695146,504
default,Oracle,3,0.033477479901935545,0.01574764403522502,504
default,FF,4,0.19483100879631254,0.10182503084535281,504
default,TabbyFlow,4,0.042860099770897185,0.016498127377994498,504
default,Oracle,4,0.033477479901935545,0.015747644035225026,504
