dataset,variant,mean_gap_mean,mean_gap_std,mean_gap_count,corr_gap_mean,corr_gap_std,corr_gap_count,exp,c2st_mean,c2st_std,c2st_count
adult,FF,0.248015376573575,0.0030494139693982903,5.0,0.050967043231707046,0.0002665213965142395,5.0,2a_moment,,,
adult,Oracle,0.051663901025270895,0.0,5.0,0.007064714614325699,0.0,5.0,2a_moment,,,
adult,TabbyFlow,0.06723211134368265,0.0011932900283148588,5.0,0.0091016896236852,0.00016237173852001017,5.0,2a_moment,,,
default,FF,0.19595706941770677,0.0001805782291996283,3.0,0.10199241671300825,0.00024800586734306286,3.0,2a_moment,,,
default,Oracle,0.0334774799019355,0.0,3.0,0.015747644035225,0.0,3.0,2a_moment,,,
default,TabbyFlow,0.042057775883367836,0.0012092895070338363,3.0,0.0160694037802861,0.0007080195942629926,3.0,2a_moment,,,
adult,FF,,,,,,,2b_gausscopula,0.9909836589003049,0.00047278368478120933,5.0
adult,GaussCopula_KDE,,,,,,,2b_gausscopula,0.9980249999999999,0.0002629955639676376,4.0
adult,GaussCopula_norm,,,,,,,2b_gausscopula,0.9998005036092958,7.864772439952938e-05,5.0
adult,Oracle,,,,,,,2b_gausscopula,0.5022607761247752,0.0016942029437033994,5.0
adult,TabbyFlow,,,,,,,2b_gausscopula,0.6070048838733413,0.0073596638392984725,5.0
default,FF,,,,,,,2b_gausscopula,0.9997317555555556,5.9296617853569776e-05,5.0
default,GaussCopula_norm,,,,,,,2b_gausscopula,0.9989965555555557,0.00015805150356064835,5.0
default,Oracle,,,,,,,2b_gausscopula,0.508533711111111,0.0042325974091304615,5.0
default,TabbyFlow,,,,,,,2b_gausscopula,0.6105790555555556,0.007902933917418633,3.0
