dataset,exp,variant,seed,mean_gap,corr_gap,n_pairs,c2st
adult,2a_moment,TabbyFlow,0,0.0682944963806332,0.0088640193997393,456.0,
adult,2a_moment,Oracle,0,0.0516639010252709,0.0070647146143257,456.0,
adult,2a_moment,FF,0,0.2430300031272582,0.0505422124449056,456.0,
adult,2a_moment,TabbyFlow,1,0.0661431602839002,0.009244179059607,456.0,
adult,2a_moment,Oracle,1,0.0516639010252709,0.0070647146143257,456.0,
adult,2a_moment,FF,1,0.2482931808486933,0.0510288361359084,456.0,
adult,2a_moment,TabbyFlow,2,0.0658953901634092,0.0091027298810202,456.0,
adult,2a_moment,Oracle,2,0.0516639010252709,0.0070647146143257,456.0,
adult,2a_moment,FF,2,0.2513694146872924,0.0509702210761031,456.0,
adult,2a_moment,TabbyFlow,3,0.0684904647841049,0.0090386788977422,456.0,
adult,2a_moment,Oracle,3,0.0516639010252709,0.0070647146143257,456.0,
adult,2a_moment,FF,3,0.2489146098330983,0.0512794031124954,456.0,
adult,2a_moment,TabbyFlow,4,0.0673370451063657,0.0092588408803173,456.0,
adult,2a_moment,Oracle,4,0.0516639010252709,0.0070647146143257,456.0,
adult,2a_moment,FF,4,0.2484696743715328,0.0510145433891227,456.0,
default,2a_moment,TabbyFlow,0,0.0421435938081708,0.0166952126986725,504.0,
default,2a_moment,Oracle,0,0.0334774799019355,0.015747644035225,504.0,
default,2a_moment,FF,0,0.1958903686215504,0.1022485469076422,504.0,
default,2a_moment,TabbyFlow,1,0.0408078633689173,0.0153009072402669,504.0,
default,2a_moment,Oracle,1,0.0334774799019355,0.015747644035225,504.0,
default,2a_moment,FF,1,0.1958193299279922,0.1019752790820113,504.0,
default,2a_moment,TabbyFlow,2,0.0432218704730154,0.0162120914019189,504.0,
default,2a_moment,Oracle,2,0.0334774799019355,0.015747644035225,504.0,
default,2a_moment,FF,2,0.1961615097035778,0.1017534241493713,504.0,
adult,2b_gausscopula,GaussCopula_norm,0,,,,0.9997689618667812
adult,2b_gausscopula,GaussCopula_norm,1,,,,0.999676243298488
adult,2b_gausscopula,GaussCopula_norm,2,,,,0.999864255217304
adult,2b_gausscopula,GaussCopula_norm,3,,,,0.9998481783902388
adult,2b_gausscopula,GaussCopula_norm,4,,,,0.9998448792736674
adult,2b_gausscopula,FF,0,,,,0.9910272215748296
adult,2b_gausscopula,Oracle,0,,,,0.5010285038352429
adult,2b_gausscopula,FF,1,,,,0.9909957300075584
adult,2b_gausscopula,Oracle,1,,,,0.5025881767561856
adult,2b_gausscopula,FF,2,,,,0.9901943936438968
adult,2b_gausscopula,Oracle,2,,,,0.5034568950764848
adult,2b_gausscopula,FF,3,,,,0.9913486015542836
adult,2b_gausscopula,Oracle,3,,,,0.5041624061565914
adult,2b_gausscopula,FF,4,,,,0.991352347720956
adult,2b_gausscopula,Oracle,4,,,,0.500067898799371
adult,2b_gausscopula,TabbyFlow,0,,,,0.6157941703014387
adult,2b_gausscopula,TabbyFlow,1,,,,0.6044519584323685
adult,2b_gausscopula,TabbyFlow,2,,,,0.5993912135852557
adult,2b_gausscopula,TabbyFlow,3,,,,0.6016118793186102
adult,2b_gausscopula,TabbyFlow,4,,,,0.6137751977290338
default,2b_gausscopula,GaussCopula_norm,0,,,,0.9990415555555556
default,2b_gausscopula,GaussCopula_norm,1,,,,0.9987647777777778
default,2b_gausscopula,GaussCopula_norm,2,,,,0.9992061111111112
default,2b_gausscopula,GaussCopula_norm,3,,,,0.9989862222222222
default,2b_gausscopula,GaussCopula_norm,4,,,,0.9989841111111112
default,2b_gausscopula,FF,0,,,,0.9997901111111112
default,2b_gausscopula,Oracle,0,,,,0.5106534444444444
default,2b_gausscopula,FF,1,,,,0.9997597777777776
default,2b_gausscopula,Oracle,1,,,,0.5097712777777778
default,2b_gausscopula,FF,2,,,,0.9997495555555556
default,2b_gausscopula,Oracle,2,,,,0.5036249444444445
default,2b_gausscopula,FF,3,,,,0.9997251111111112
default,2b_gausscopula,Oracle,3,,,,0.504818611111111
default,2b_gausscopula,FF,4,,,,0.9996342222222224
default,2b_gausscopula,Oracle,4,,,,0.5138002777777778
default,2b_gausscopula,TabbyFlow,0,,,,0.6152687777777778
default,2b_gausscopula,TabbyFlow,1,,,,0.6014547222222223
default,2b_gausscopula,TabbyFlow,2,,,,0.6150136666666667
adult,2b_gausscopula,GaussCopula_KDE,0,,,,0.9983
adult,2b_gausscopula,GaussCopula_KDE,1,,,,0.9978
adult,2b_gausscopula,GaussCopula_KDE,2,,,,0.9978
adult,2b_gausscopula,GaussCopula_KDE,3,,,,0.9982
