dataset,variant,seed,n_aug,full,marg,dep,dep_cross,mle_f1,mle_recall,mle_auc
adult,SMOTE,0,49440,0.6651049584416755,0.8482125433573993,-0.18310758491572376,-0.08665797042928447,0.706037437384656,0.6963078523140925,0.9195887099657689
adult,SMOTE_priormatch,0,32366,0.6191853527855887,0.6396413939888346,-0.020456041203245845,-0.007130484957195926,,,
adult,SMOTE,1,49440,0.6737900554108605,0.8526166546021614,-0.17882659919130095,-0.07732255703407653,0.6959072123716837,0.6786271450858035,0.917499640878277
adult,SMOTE_priormatch,1,32366,0.6236821788260691,0.6518871148620463,-0.02820493603597718,-0.004032261761030886,,,
adult,SMOTE,2,49440,0.6698645046976685,0.8513439199399891,-0.1814794152423207,-0.08145110810534995,0.6975881261595547,0.6843473738949558,0.9179127092707351
adult,SMOTE_priormatch,2,32366,0.6207005225291351,0.6519414814359843,-0.031240958906849192,-0.010518953073852533,,,
adult,SMOTE,3,49440,0.6718970849470003,0.8478864137064037,-0.17598932875940343,-0.07896074666587105,0.6768817204301075,0.6547061882475299,0.9188353123188058
adult,SMOTE_priormatch,3,32366,0.6236132255920708,0.6506549184012654,-0.027041692809194662,-0.0036731371717477757,,,
adult,SMOTE,4,49440,0.6734259849761512,0.848975703151429,-0.17554971817527776,-0.08562412462827274,0.7144159395754656,0.7132085283411337,0.9233356093391303
adult,SMOTE_priormatch,4,32366,0.6186365601171981,0.6460099112856048,-0.027373351168406668,-0.007715120857769153,,,
adult,RealTrain,0,32561,,,,,0.7112864590672116,0.656266250650026,0.9273177569644
adult,RealTrain,1,32561,,,,,0.7097136440202133,0.65730629225169,0.9277787762093516
adult,RealTrain,2,32561,,,,,0.7048209754722301,0.6500260010400416,0.9267364816024084
adult,RealTrain,3,32561,,,,,0.7093303128982019,0.6513260530421217,0.9249974751704182
adult,RealTrain,4,32561,,,,,0.7117256949343869,0.655746229849194,0.9271921689091126
default,SMOTE,0,42062,0.6609147222222223,0.7062168333333334,-0.045302111111111154,-0.01568427777777781,0.4643150123051682,0.424287856071964,0.7314516766477456
default,SMOTE_priormatch,0,27044,0.5250025555555555,0.5060996666666666,0.018902888888888913,-0.001160888888888878,,,
default,SMOTE,1,42062,0.6465987777777777,0.6876357222222221,-0.04103694444444439,-0.03034888888888898,0.4968051118210863,0.4662668665667166,0.7385122269555321
default,SMOTE_priormatch,1,27044,0.5251706111111112,0.5059312222222222,0.019239388888888986,-0.0038158333333333516,,,
default,SMOTE,2,42062,0.6470271111111111,0.6839666666666666,-0.0369395555555555,-0.026760444444444365,0.47191011235955055,0.4407796101949025,0.7363149222645429
default,SMOTE_priormatch,2,27044,0.5236310555555557,0.5133408888888888,0.010290166666666822,0.007445000000000035,,,
default,SMOTE,3,42062,0.6349463333333333,0.6847246111111112,-0.04977827777777788,-0.036229666666666716,0.4751020408163265,0.4362818590704648,0.73358327265857
default,SMOTE_priormatch,3,27044,0.5386040555555556,0.5197992777777778,0.01880477777777778,0.012259499999999979,,,
default,SMOTE,4,42062,0.6447236111111111,0.6965072222222223,-0.05178361111111118,-0.03301872222222224,0.49756888168557534,0.46026986506746626,0.7422041229706622
default,SMOTE_priormatch,4,27044,0.5182577777777777,0.5073463888888889,0.010911388888888762,0.008640888888888809,,,
default,RealTrain,0,27000,,,,,0.48120300751879697,0.383808095952024,0.7682035536025387
default,RealTrain,1,27000,,,,,0.474671669793621,0.3793103448275862,0.7690852387779535
default,RealTrain,2,27000,,,,,0.47564469914040114,0.3733133433283358,0.7707062670979126
default,RealTrain,3,27000,,,,,0.4807511737089202,0.383808095952024,0.7718742429042659
default,RealTrain,4,27000,,,,,0.47513812154696133,0.3868065967016492,0.7660896298528832
