dataset,variant,seed,full,marg,dep,dep_cross,mle_f1,mle_recall
adult,FF,0,0.990569334752591,0.5032424147736048,0.48732691997898625,0.055449851785160154,0.09879160483358067,0.06058242329693188
adult,TabDiff,0,0.5889468575171461,0.5333832248791673,0.05556363263797881,0.027986822743665263,0.6778136855416608,0.6271450858034321
adult,Oracle,0,0.5025596353423263,0.5042383744932362,-0.0016787391509098804,0.0019226379912660185,0.7011974380395433,0.6547061882475299
adult,FF,1,0.9906984096232255,0.5122014421640098,0.47849696745921577,0.05485715389246282,0.10284552845528455,0.0657826313052522
adult,TabDiff,1,0.5882646269954859,0.5341877679313201,0.054076859064165816,0.025585690240886083,0.6730633554395372,0.6201248049921997
adult,Oracle,1,0.5021399496114551,0.5010021486284195,0.0011378009830356195,-0.0011097500038866892,0.7143059690911668,0.6549661986479459
adult,FF,2,0.9910124934432181,0.5032645031984473,0.4877479902447708,0.05169295402373397,0.09865650691798676,0.06396255850234009
adult,TabDiff,2,0.5931073132526199,0.5406534573208115,0.0524538559318084,0.02870867850364034,0.6720544449170566,0.6162246489859594
adult,Oracle,2,0.5079587857984942,0.5020078038650186,0.005950981933475541,0.005424922800200682,0.7092597804672108,0.6552262090483619
adult,FF,3,0.9909736227198422,0.511512162586531,0.47946146013331126,0.05115342302622139,0.10886024145692653,0.06916276651066043
adult,TabDiff,3,0.5912661798513644,0.5430847232639715,0.048181456587392923,0.025075449513309755,0.6681096681096681,0.6019240769630785
adult,Oracle,3,0.5019087228495014,0.505294018230839,-0.003385295381337583,-0.0032131735471393474,0.7099591491759403,0.6552262090483619
adult,FF,4,0.9913862216691477,0.5055484538723198,0.48583776779682786,0.05518750316825549,0.1000823723228995,0.06318252730109204
adult,TabDiff,4,0.5955518869530186,0.5359771151997295,0.05957477175328918,0.03729908196167897,0.6648579180351278,0.6053042121684867
adult,Oracle,4,0.5012151859214786,0.5040371868572959,-0.0028220009358173037,0.000523912538273219,0.7075445040972026,0.6510660426417056
default,FF,0,0.9996908888888889,0.5028395,0.4968513888888889,0.0003862222222221767,0.06741573033707865,0.04047976011994003
default,TabDiff,0,0.5982477777777777,0.5392182222222222,0.05902955555555556,0.015746833333333266,0.44145873320537427,0.3448275862068966
default,Oracle,0,0.5009262777777778,0.5176854444444444,-0.01675916666666666,-0.0021148888888889994,0.4835988753514527,0.3868065967016492
default,FF,1,0.9998252222222223,0.5175170555555555,0.48230816666666676,0.0004478888888889143,0.04987531172069826,0.029985007496251874
default,TabDiff,1,0.586509,0.5349656111111112,0.051543388888888764,0.01792372222222216,0.4490566037735849,0.3568215892053973
default,Oracle,1,0.5051158333333334,0.510881,-0.005765166666666599,0.0006721666666666959,0.48015122873345933,0.3808095952023988
default,FF,2,0.9996977777777778,0.5044796666666667,0.49521811111111114,0.0006935555555557249,0.12097560975609756,0.09295352323838081
default,TabDiff,2,0.5975241666666667,0.5317976111111111,0.06572655555555562,0.009994055555555659,0.4026717557251908,0.31634182908545727
default,Oracle,2,0.509098,0.5047695555555556,0.004328444444444468,0.00766744444444456,0.45353159851301117,0.3658170914542729
default,FF,3,0.9997306666666668,0.5055406666666666,0.49419000000000013,0.00043711111111122136,0.136986301369863,0.08995502248875563
default,TabDiff,3,0.6006797222222222,0.5400805555555556,0.06059916666666665,0.019571833333333233,0.4669187145557656,0.37031484257871067
default,Oracle,3,0.5106265555555556,0.5372071666666667,-0.026580611111111097,0.007238222222222257,0.4423791821561338,0.3568215892053973
default,FF,4,0.9997654444444444,0.5136825,0.48608294444444433,0.0003435555555554304,0.05759162303664921,0.03298350824587706
default,TabDiff,4,0.5949446111111112,0.557005388888889,0.037939222222222235,0.014522111111111236,0.4384057971014493,0.36281859070464767
default,Oracle,4,0.5024326111111111,0.5206564444444445,-0.018223833333333328,0.001330111111111143,0.47438330170777987,0.3748125937031484
