dataset,seed,Shape,Trend,MLE_AUC,F1,recall
adult,0,0.9946049977990029,0.9874153364218168,0.9120910324953408,0.6778136855416608,0.6271450858034321
adult,1,0.9936181321212495,0.986099463019705,0.9114600864694018,0.6730633554395372,0.6201248049921997
adult,2,0.9927991564550639,0.9835527636885091,0.9131873208181243,0.6720544449170566,0.6162246489859594
adult,3,0.992287296663698,0.9850009331597734,0.9139051617553242,0.6681096681096681,0.6019240769630785
adult,4,0.9926722152268052,0.985430895384521,0.913766332720056,0.6648579180351278,0.6053042121684867
default,0,0.9864876543209876,0.9855958838027327,0.7595325783314943,0.44145873320537427,0.3448275862068966
default,1,0.9857824074074074,0.9850269927294281,0.7564791329153255,0.4490566037735849,0.3568215892053973
default,2,0.9891898148148149,0.9867806911917822,0.7682340784172852,0.4026717557251908,0.31634182908545727
default,3,0.9872685185185185,0.9876664247441461,0.7611352917626055,0.4669187145557656,0.37031484257871067
default,4,0.9879043209876542,0.9864774904979788,0.7648940210563385,0.4384057971014493,0.36281859070464767
