xgb_cfg,variant,seed,full,dep,dep_cross
"small(100,3)",FF,0,0.9706586192215902,0.4689883419557226,0.07650489862599463
"small(100,3)",TabbyFlow,0,0.5692291921784673,0.01146441310860924,0.006561401495805641
"small(100,3)",TabDiff,0,0.5468397762363717,0.017007619329527435,0.009615730785387688
"small(100,3)",Oracle,0,0.5009193575904378,-0.0037999051129558037,-0.0008355158904033155
"small(100,3)",FF,1,0.9556869622546094,0.44015715097513086,0.06230991858817769
"small(100,3)",TabbyFlow,1,0.5714862085553007,0.012825416587221028,0.00903063463070175
"small(100,3)",TabDiff,1,0.5528325413208881,0.021980968711242665,0.008097588252981125
"small(100,3)",Oracle,1,0.5014625253499572,0.0010078301259111022,-0.004293806819525514
"small(100,3)",FF,2,0.9603808393028763,0.4545789419762205,0.0651252062273242
"small(100,3)",TabbyFlow,2,0.5676456652677243,0.018596231670959917,0.010469149429008895
"small(100,3)",TabDiff,2,0.557753827285517,0.019990335719951013,0.004773961263904836
"small(100,3)",Oracle,2,0.5057524784844312,0.001896048884811652,0.005606413823655232
"small(100,3)",FF,3,0.9546742504170423,0.4426558309418136,0.05227606014526831
"small(100,3)",TabbyFlow,3,0.565701727319727,0.007355569967545272,0.008857963886885312
"small(100,3)",TabDiff,3,0.5570426912965393,0.014584802067398095,0.002877135228705807
"small(100,3)",Oracle,3,0.5044332374076993,0.002348374931948949,0.003425814719855258
"small(100,3)",FF,4,0.9560385266042023,0.45246596438755116,0.06524782622265424
"small(100,3)",TabbyFlow,4,0.5735446894162051,0.018762705960838955,0.005468228185131152
"small(100,3)",TabDiff,4,0.5543676774160109,0.018423191214823387,0.01091269292225494
"small(100,3)",Oracle,4,0.5042375954565615,-0.0012344109621271748,0.004167142624121656
"large(600,10)",FF,0,0.9886966777171793,0.48350599407982675,0.06206600088494796
"large(600,10)",TabbyFlow,0,0.6149703531651662,0.07642423343385396,0.04816712268983703
"large(600,10)",TabDiff,0,0.5860420032958646,0.05985866743056789,0.037506933850818935
"large(600,10)",Oracle,0,0.5019944508368837,-0.00010723732200901281,0.00038783199642911104
"large(600,10)",FF,1,0.9889648587345634,0.4873437890467375,0.06040822027275927
"large(600,10)",TabbyFlow,1,0.5982173260389696,0.0575186317749834,0.04039234422211946
"large(600,10)",TabDiff,1,0.5893496006150594,0.07360565988214751,0.03654594589861526
"large(600,10)",Oracle,1,0.5053444481230821,0.00506171062623495,0.001942934443128319
"large(600,10)",FF,2,0.989455250060379,0.4887087273207569,0.05727624762336747
"large(600,10)",TabbyFlow,2,0.601587906492707,0.06762020038852912,0.04471694656888492
"large(600,10)",TabDiff,2,0.5922423090321085,0.06522868229236156,0.04227181264114399
"large(600,10)",Oracle,2,0.5062706340737189,-0.0011884176177261452,0.0057396856836384735
"large(600,10)",FF,3,0.9891253440621132,0.4801907686145973,0.055936713867348
"large(600,10)",TabbyFlow,3,0.5975442364657968,0.06411728744590772,0.049459165389301174
"large(600,10)",TabDiff,3,0.5861605394790869,0.062362095182504684,0.03563235846117452
"large(600,10)",Oracle,3,0.5017930557093351,-0.004277988413827094,-0.00043695846411484496
"large(600,10)",FF,4,0.9902299350701037,0.487713974825028,0.06002430420886429
"large(600,10)",TabbyFlow,4,0.6066222414306635,0.06979130203553285,0.051037423899481626
"large(600,10)",TabDiff,4,0.5923081895040174,0.06882403651903624,0.04028260568308728
"large(600,10)",Oracle,4,0.5004924586967487,-0.007561703448911605,-0.0021253459748085124
